iter	RMSE
0	14.43604084
1	13.53998533
2	12.70955414
3	11.96509196
4	11.29518539
5	10.74876672
6	10.16505556
7	9.652024888
8	9.229450382
9	8.799513275
10	8.413001215
11	8.090216125
12	7.819531318
13	7.591256676
14	7.324922374
15	7.097042261
16	6.886919159
17	6.739748226
18	6.588428325
19	6.449951315
20	6.336242117
21	6.237006882
22	6.135119381
23	6.044728877
24	5.965215532
25	5.883342776
26	5.807508582
27	5.745276446
28	5.703132852
29	5.655764674
30	5.603700675
31	5.56576259
32	5.527827689
33	5.499459639
34	5.458001324
35	5.424183106
36	5.39953605
37	5.377909461
38	5.355943966
39	5.334253867
40	5.3168161
41	5.299851106
42	5.280408171
43	5.270165691
44	5.252793595
45	5.232329896
46	5.21335893
47	5.195582276
48	5.175398336
49	5.161300611
50	5.152920577
51	5.133440828
52	5.127006122
53	5.116467913
54	5.103697343
55	5.092649559
56	5.082729106
57	5.071979372
58	5.052703239
59	5.035561085
60	5.024025708
61	5.006674267
62	4.997112157
63	4.984548639
64	4.970192667
65	4.958342319
66	4.949584273
67	4.936874736
68	4.925185853
69	4.906596458
70	4.898908733
71	4.895332181
72	4.882272125
73	4.874073666
74	4.863318316
75	4.847983024
76	4.838871533
77	4.831757145
78	4.823975825
79	4.814108113
80	4.805263832
81	4.794936111
82	4.787387123
83	4.778429966
84	4.76717778
85	4.762293806
86	4.741560181
87	4.735399325
88	4.725232775
89	4.716068521
90	4.69734742
91	4.685848959
92	4.667450826
93	4.662914697
94	4.656858818
95	4.649232228
96	4.637030093
97	4.630400949
98	4.618492029
99	4.61449313
