iter	Passed	Remaining
0	1	129
1	2	120
2	3	115
3	4	113
4	5	111
5	6	109
6	8	107
7	9	105
8	10	104
9	11	103
10	12	102
11	13	100
12	14	99
13	16	98
14	17	97
15	18	95
16	19	94
17	20	93
18	21	92
19	22	91
20	23	90
21	25	89
22	26	88
23	27	86
24	28	85
25	29	84
26	30	83
27	31	82
28	33	81
29	34	80
30	35	79
31	37	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	45	70
39	46	69
40	47	68
41	48	66
42	49	65
43	50	64
44	51	62
45	52	61
46	54	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	62	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	105	9
92	106	7
93	107	6
94	108	5
95	109	4
96	110	3
97	112	2
98	113	1
99	114	0
