iter	Passed	Remaining
0	145	145171
1	146	72941
2	146	48799
3	147	36698
4	148	29452
5	148	24614
6	149	21160
7	149	18573
8	150	16557
9	150	14941
10	151	13619
11	152	12518
12	152	11586
13	153	10787
14	153	10094
15	154	9490
16	155	8969
17	155	8498
18	156	8072
19	156	7689
20	157	7343
21	158	7025
22	158	6737
23	159	6471
24	159	6228
25	160	6005
26	160	5797
27	161	5602
28	162	5424
29	162	5258
30	163	5103
31	164	4961
32	164	4826
33	165	4698
34	165	4576
35	166	4461
36	167	4350
37	167	4245
38	168	4146
39	168	4053
40	169	3965
41	170	3882
42	170	3802
43	172	3740
44	172	3667
45	173	3595
46	174	3528
47	174	3463
48	175	3400
49	175	3339
50	176	3283
51	177	3227
52	177	3176
53	178	3126
54	179	3076
55	179	3029
56	180	2983
57	180	2939
58	181	2896
59	182	2856
60	183	2817
61	183	2779
62	184	2742
63	185	2706
64	185	2671
65	186	2637
66	187	2606
67	187	2573
68	188	2542
69	189	2514
70	190	2486
71	190	2457
72	191	2430
73	192	2402
74	193	2382
75	193	2357
76	194	2331
77	195	2310
78	196	2285
79	196	2262
80	197	2238
81	197	2215
82	198	2191
83	198	2169
84	199	2148
85	200	2128
86	200	2108
87	201	2089
88	202	2070
89	202	2052
90	203	2033
91	204	2015
92	204	1998
93	205	1981
94	206	1964
95	206	1947
96	207	1930
97	207	1914
98	208	1898
99	209	1883
100	209	1869
101	210	1853
102	211	1840
103	211	1826
104	212	1813
105	213	1801
106	214	1788
107	214	1775
108	215	1762
109	216	1749
110	216	1736
111	217	1723
112	217	1710
113	218	1697
114	218	1685
115	219	1673
116	220	1660
117	220	1649
118	221	1638
119	221	1627
120	222	1616
121	222	1604
122	223	1594
123	224	1583
124	224	1573
125	225	1563
126	225	1552
127	226	1542
128	227	1532
129	227	1523
130	228	1514
131	228	1504
132	229	1496
133	230	1487
134	230	1478
135	231	1470
136	231	1461
137	232	1452
138	233	1444
139	233	1436
140	234	1428
141	234	1418
142	235	1410
143	236	1403
144	236	1395
145	237	1387
146	237	1380
147	238	1373
148	239	1366
149	239	1359
150	240	1352
151	241	1345
152	241	1338
153	242	1330
154	242	1323
155	243	1317
156	244	1310
157	244	1303
158	245	1297
159	246	1291
160	246	1284
161	247	1278
162	247	1271
163	248	1265
164	248	1259
165	249	1253
